evaluation_run,checkpoint,dataset,protocol,aggregation,split_begin,split_end,number_of_recordings,number_of_measurements,mae_bpm,mae_standard_error_bpm,recording_macro_rmse_bpm,accuracy_within_5_bpm_percent,completion_status
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,3.789760044642857,0.4457269159434286,5.036892843233576,84.32122370936902,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,COHFACE,Official,recording,0.0,1.0,160,160,3.0074257425742568,0.46205453691519627,3.0074257425742568,85.625,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,6.068668630298176,0.4665979694070532,8.939601071503235,72.03348701771415,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,5.3593597412109375,0.4304463262929412,7.313126784835997,71.85185185185186,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,PURE,Official,recording,0.0,1.0,59,59,9.080230056903996,2.3107169157610263,9.080230056903996,79.66101694915254,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,PURE,Old,window_to_recording,0.0,1.0,59,3576,8.281726819864462,1.5105137122493149,12.582533847318922,80.98434004474274,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,PURE,PRISM,window_to_recording,0.0,1.0,59,374,8.164508810343523,1.6418235396729006,11.10772905367183,79.14438502673798,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,TokyoTech,Official,recording,0.0,1.0,9,9,0.7200720072007224,0.2683549927992535,0.7200720072007224,100.0,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,1.8744247205785665,0.6898528590498366,3.921751943516435,93.88560157790927,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,0.9758444393382353,0.33056380951682374,1.31920221038336,96.07843137254902,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,UBFC-PHYS,Official,recording,0.0,1.0,60,60,6.471647164716471,1.0319673593077299,6.471647164716471,58.333333333333336,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,18.32396449704142,1.583626357809617,24.627881625792675,42.514792899408285,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,15.429328469669116,1.318602503233139,20.16447838530847,42.450980392156865,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,UBFC-rPPG,Official,recording,0.8,1.0,9,9,0.6000600060005988,0.1789033285328361,0.6000600060005988,100.0,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,UBFC-rPPG,Old,window_to_recording,0.8,1.0,9,497,1.099843103694195,0.1135674246720715,1.8223701801644034,97.98792756539235,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,UBFC-rPPG,PRISM,window_to_recording,0.8,1.0,9,52,0.909423828125,0.1474981197948556,1.1802326362852873,98.07692307692307,PASSED
