evaluation_run,checkpoint,dataset,protocol,evaluation_unit,total_count,correct_count,harmonic_1p5x_count,harmonic_2x_count,harmonic_0p5x_count,harmonic_0p333x_count,other_large_error_count
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,UBFC-PHYS,Official,recording,60,40,7,0,0,0,13
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,UBFC-PHYS,Old,window,10140,3645,1225,1482,384,32,3372
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,UBFC-PHYS,PRISM,window,1020,409,142,108,27,0,334
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,UBFC-rPPG,Official,recording,42,39,1,0,0,0,2
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,UBFC-rPPG,Old,window,2280,2022,14,0,54,4,186
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,UBFC-rPPG,PRISM,window,239,217,3,0,3,0,16
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,BH-rPPG,Official,recording,105,95,3,0,0,0,7
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,BH-rPPG,Old,window,5323,3658,163,110,108,0,1284
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,BH-rPPG,PRISM,window,523,405,15,4,2,0,97
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,COHFACE,Official,recording,160,115,8,0,1,0,36
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,COHFACE,Old,window,8242,3505,320,68,663,0,3686
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,COHFACE,PRISM,window,810,420,59,3,22,0,306
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,PURE,Old,window,735,721,2,6,0,0,6
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,PURE,PRISM,window,77,74,2,0,0,0,1
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,TokyoTech,Official,recording,9,6,0,0,0,0,3
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,TokyoTech,Old,window,1521,831,76,48,58,0,508
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,TokyoTech,PRISM,window,153,99,4,3,4,0,43
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,UBFC-PHYS,Official,recording,60,39,7,0,0,0,14
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,UBFC-PHYS,Old,window,10140,3765,1299,1557,347,22,3150
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,UBFC-PHYS,PRISM,window,1020,412,156,121,22,1,308
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,UBFC-rPPG,Official,recording,42,38,1,0,0,0,3
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,UBFC-rPPG,Old,window,2280,2040,23,0,27,3,187
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H100,UBFC-rPPG,PRISM,window,239,218,3,0,1,0,17
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,BH-rPPG,Official,recording,105,61,9,0,0,0,35
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,BH-rPPG,Old,window,5323,925,0,0,1658,17,2723
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,BH-rPPG,PRISM,window,523,202,0,0,70,0,251
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,COHFACE,Official,recording,160,25,49,1,0,0,85
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,COHFACE,Old,window,8242,204,0,1,2965,0,5072
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,COHFACE,PRISM,window,810,140,0,1,172,0,497
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,PURE,Official,recording,12,8,2,2,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,PURE,Old,window,735,451,0,1,37,0,246
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,PURE,PRISM,window,77,66,0,3,0,0,8
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,TokyoTech,Official,recording,9,6,0,0,0,0,3
